Player,Team,2p%,3p%,ft%,min%
Brandon Williams,DAL,0.435,0.2,0.647,0.029
Micah Potter,UTA,0.526,0.429,0.75,0.047
Jeff Dowtin Jr.,PHI,0.648,0.474,0.75,0.036
P.J. Tucker,LAC,0.334,0.371,1.0,0.124
Terquavion Smith,PHI,0.455,0.371,0.6,0.022
James Bouknight,CHA,0.455,0.433,0.5,0.021
Josh Minott,MIN,0.5,0.4,0.857,0.023
AJ Griffin,ATL,0.348,0.256,1.0,0.043
Darius Bazley,UTA,0.727,0.25,0.833,0.039
Maozinha Pereira,MEM,0.59,0.385,0.7,0.031
Jahmi'us Ramsey,TOR,0.631,0.273,0.833,0.031
Terry Taylor,CHI,0.6,0.222,0.8,0.048
Boban Marjanović,HOU,0.562,0.0,0.643,0.018
Sidy Cissoko,SAS,0.715,0.083,0.8,0.036
Ryan Rollins,MIL,0.479,0.75,0.765,0.02
DeJon Jarreau,MEM,0.351,0.308,0.455,0.038
Dylan Windler,ATL,0.671,0.481,0.0,0.028
Armoni Brooks,BKN,0.285,0.344,0.5,0.026
Cole Swider,MIA,0.628,0.333,1.0,0.022
Jalen Pickett,DEN,0.602,0.36,0.75,0.031
Zavier Simpson,MEM,0.325,0.294,0.75,0.041
Emoni Bates,CLE,0.312,0.303,0.25,0.034
Robert Williams III,POR,0.654,0.0,0.778,0.03
T.J. Warren,MIN,0.571,0.154,0.75,0.032
Trevelin Queen,ORL,0.523,0.176,0.75,0.042
Dru Smith,MIA,0.501,0.412,1.0,0.033
Joe Harris,DET,0.446,0.333,0.5,0.043
Otto Porter Jr.,TOR,0.599,0.348,1.0,0.044
Marques Bolden,CHA,0.708,0.0,0.75,0.031
Adama Sanogo,CHI,0.519,0.0,0.667,0.017
Udoka Azubuike,PHX,0.696,0.0,0.231,0.029
Buddy Boeheim,DET,0.248,0.32,0.8,0.021
Gabe Vincent,LAL,0.571,0.107,0.5,0.055
Ibou Badji,POR,0.636,0.0,0.5,0.057
Jalen Hood-Schifino,LAL,0.267,0.133,0.6,0.028
Olivier Sarr,OKC,0.693,0.333,0.667,0.025
Taj Gibson,DET,0.481,0.2,1.0,0.052
Nate Hinton,HOU,0.333,0.5,0.8,0.019
Nathan Mensah,CHA,0.429,0.0,0.75,0.078
Xavier Moon,LAC,0.448,0.118,0.5,0.03
Matt Hurt,MEM,0.5,0.25,1.0,0.029
