,Player,Team,Min,FG%,3P%,FT%,min%
269,Nikola Jović,MIA,896.2,45.2,39.9,70.2,22.77
270,Doug McDermott,IND,904.5,43.3,41,57.9,22.98
271,Larry Nance Jr.,NOP,1216.1,57.3,41.5,77,30.90
272,Christian Wood,LAL,871.9,46.6,30.7,70.2,22.15
273,Markelle Fultz,ORL,909.9,47.2,22.2,69.7,23.12
274,Kevon Looney,GSW,1194.4,59.7,0,67.5,30.35
274,Luke Kornet,BOS,983.3,70,100,90.7,24.98
276,Chimezie Metu,DET,858.9,50.4,29.8,90.6,21.82
277,Landry Shamet,WAS,726.5,43.1,33.8,82.6,18.46
278,Garrison Mathews,ATL,992.1,45.6,44,81,25.21
278,Kenrich Williams,OKC,1029,46.8,39.7,50,26.14
280,Chris Boucher,TOR,704.9,50.7,33,77.2,17.91
281,Nicolas Batum,PHI,1529.6,45.3,39.5,71.4,38.86
282,Anthony Black,ORL,1164.2,46.6,39.4,61.3,29.58
282,Marcus Morris Sr.,CLE,817,43.9,40.3,81.8,20.76
284,Jae Crowder,MIL,1155.7,42.2,34.9,72.2,29.36
285,Goga Bitadze,ORL,957.1,60.3,14.3,65.5,24.32
286,Keon Ellis,SAC,978.5,46.1,41.7,74.3,24.86
287,Jaxson Hayes,LAL,877.1,72,0,62.2,22.28
287,Torrey Craig,CHI,1048.6,43,39.2,75,26.64
289,Bryce McGowens,CHA,881.6,43.9,33.3,77.6,22.40
289,Nick Smith Jr.,CHA,728.7,39.1,43.2,86.7,18.51
291,Joe Ingles,ORL,1169,43.6,43.5,82.4,29.70
292,Taylor Hendricks,UTA,856.4,45,37.9,79.3,21.76
293,Dean Wade,CLE,1108.1,41.4,39.1,76.9,28.15
294,Dāvis Bertāns,CHA,674.1,39.3,38,90.9,17.13
295,Killian Hayes,DET,1007.7,41.3,29.7,66,25.60
295,Marcus Smart,MEM,604.8,43,31.3,76.8,15.37
297,Craig Porter Jr.,CLE,649.4,50.9,35.3,73.2,16.50
298,Max Christie,LAL,944.3,42.7,35.6,78.3,23.99
298,Xavier Tillman,BOS,974.6,43.4,24.7,44,24.76
300,Bruno Fernando,ATL,682.3,58.3,0,66.7,17.33
301,Danilo Gallinari,MIL,629.3,43.7,32.3,85.7,15.99
302,Josh Okogie,PHX,959.7,41.7,30.9,74.5,24.38
303,Jaylin Williams,OKC,896.9,41.7,36.8,80.5,22.79
304,Jock Landale,HOU,763.5,51.5,25,80,19.40
305,Lamar Stevens,MEM,559,45,30.4,77.8,14.20
306,Scotty Pippen Jr.,MEM,526.8,49.3,41.7,74.5,13.38
307,Blake Wesley,SAS,875.9,47.4,21.8,66.7,22.25
308,Jae'Sean Tate,HOU,1031.5,47.2,29.9,66.7,26.21
309,Cam Reddish,LAL,984.1,38.9,33.6,75.9,25.00
310,Bones Hyland,LAC,540.2,38.6,32.6,78.3,13.72
311,Caleb Houstan,ORL,815.3,38.8,37.3,80.8,20.71
311,Mo Bamba,PHI,740.4,49,39.1,68,18.81
313,AJ Green,MIL,614.3,42.3,40.8,89.5,15.61
313,Ben Sheppard,IND,814.3,39.3,31.4,88.5,20.69
315,Jared Butler,WAS,565.7,48.8,30.8,86.1,14.37
316,Troy Brown Jr.,DET,826.5,37.2,33.3,86.5,21.00
317,Mason Plumlee,LAC,673.9,56.9,0,70.7,17.12
318,Mark Williams,CHA,508.4,64.9,0,71.9,12.92
319,Brice Sensabaugh,UTA,584.4,39,29.6,90.2,14.85
320,Gary Payton II,GSW,679.9,56.3,36.4,60.9,17.27
321,John Konchar,MEM,1173.6,42.3,31.7,84,29.82
322,Justin Holiday,DEN,862,45.4,40.4,75,21.90
323,Chris Duarte,SAC,719.5,38.1,34.6,78.8,18.28
324,Julian Strawther,DEN,545.4,36.9,29.7,71,13.86
325,Ja Morant,MEM,317.9,47.1,27.5,81.3,8.08
325,Seth Curry,CHA,615.4,39.2,35.2,90.3,15.64
